央视频道,#genre#
深圳卫视,http://1.193.56.43:8800/rtp/239.16.20.77:10770
深圳卫视,http://121.29.84.237:5000/rtp/239.253.92.86:8017
深圳卫视,http://121.20.207.185:9999/rtp/239.253.92.86:8017
广东卫视,http://114.254.147.3:23234/rtp/239.3.1.142:8048
广东卫视,http://114.254.32.8:8888/rtp/239.3.1.142:8048
广东卫视,http://114.254.80.199:8888/rtp/239.3.1.142:8048
广东卫视,http://171.213.197.33:4022/udp/239.93.0.181:5140
广东卫视,http://171.213.203.2:4022/udp/239.93.0.181:5140
广东卫视,http://171.213.196.239:4022/udp/239.93.0.181:5140
广东卫视,http://27.46.65.9:17088/udp/239.0.1.1:5001
广东卫视,http://171.83.144.74:6868/rtp/239.254.96.140:8914
广东卫视,http://221.234.221.30:4022/rtp/239.254.96.140:8914
广东卫视,http://27.28.196.115:4022/rtp/239.254.96.140:8914
广东卫视,http://183.128.146.235:8000/udp/233.50.201.102:5140
广东卫视,http://125.123.144.144:4022/udp/233.50.201.102:5140
广东卫视,http://125.119.112.63:8000/udp/233.50.201.102:5140
广东卫视,http://121.235.33.113:12345/udp/239.49.8.13:9422
广东卫视,http://114.228.193.151:4022/udp/239.49.8.13:9422
广东卫视,http://121.226.125.49:7777/udp/239.49.8.13:9422
广东卫视,http://123.160.172.130:8800/rtp/239.16.20.98:10980
广东卫视,http://1.193.56.43:8800/rtp/239.16.20.98:10980
广东卫视,http://121.29.84.237:5000/rtp/239.253.92.206:8108
广东卫视,http://121.20.207.185:9999/rtp/239.253.92.206:8108
广西卫视,http://171.213.197.33:4022/udp/239.93.42.46:5140
广西卫视,http://171.213.203.2:4022/udp/239.93.42.46:5140
广西卫视,http://171.213.196.239:4022/udp/239.93.42.46:5140
广西卫视,http://27.46.65.9:17088/udp/239.0.1.181:6041
广西卫视,http://171.83.144.74:6868/rtp/239.69.1.191:10788
广西卫视,http://221.234.221.30:4022/rtp/239.69.1.191:10788
广西卫视,http://27.28.196.115:4022/rtp/239.69.1.191:10788
广西卫视,http://123.160.172.130:8800/rtp/239.16.20.84:10840
广西卫视,http://1.193.56.43:8800/rtp/239.16.20.84:10840
广西卫视,http://121.29.84.237:5000/rtp/239.253.92.76:8043
广西卫视,http://121.20.207.185:9999/rtp/239.253.92.76:8043
甘肃卫视,http://171.213.197.33:4022/udp/239.93.0.81:5140
甘肃卫视,http://171.213.203.2:4022/udp/239.93.0.81:5140
甘肃卫视,http://171.213.196.239:4022/udp/239.93.0.81:5140
甘肃卫视,http://123.160.172.130:8800/rtp/239.16.20.102:11020
甘肃卫视,http://1.193.56.43:8800/rtp/239.16.20.102:11020
贵州卫视,http://114.254.147.3:23234/rtp/239.3.1.149:8076
贵州卫视,http://114.254.32.8:8888/rtp/239.3.1.149:8076
贵州卫视,http://114.254.80.199:8888/rtp/239.3.1.149:8076
贵州卫视,http://171.213.197.33:4022/udp/239.93.0.131:5140
贵州卫视,http://171.213.203.2:4022/udp/239.93.0.131:5140
贵州卫视,http://171.213.196.239:4022/udp/239.93.0.131:5140
贵州卫视,http://171.83.144.74:6868/rtp/239.69.1.150:10536
贵州卫视,http://221.234.221.30:4022/rtp/239.69.1.150:10536
贵州卫视,http://27.28.196.115:4022/rtp/239.69.1.150:10536
贵州卫视,http://183.128.146.235:8000/udp/233.50.201.142:5140
贵州卫视,http://125.123.144.144:4022/udp/233.50.201.142:5140
贵州卫视,http://125.119.112.63:8000/udp/233.50.201.142:5140
贵州卫视,http://123.160.172.130:8800/rtp/239.16.20.81:10810
贵州卫视,http://1.193.56.43:8800/rtp/239.16.20.81:10810
贵州卫视,http://121.29.84.237:5000/rtp/239.253.92.105:6055
贵州卫视,http://121.20.207.185:9999/rtp/239.253.92.105:6055
河北卫视,http://114.254.147.3:23234/rtp/239.3.1.148:8072
河北卫视,http://114.254.32.8:8888/rtp/239.3.1.148:8072
河北卫视,http://114.254.80.199:8888/rtp/239.3.1.148:8072
河北卫视,http://171.213.197.33:4022/udp/239.93.0.132:5140
河北卫视,http://171.213.203.2:4022/udp/239.93.0.132:5140
河北卫视,http://171.213.196.239:4022/udp/239.93.0.132:5140
河北卫视,http://27.46.65.9:17088/udp/239.0.1.243:8072
河北卫视,http://171.83.144.74:6868/rtp/239.254.96.113:9616
河北卫视,http://221.234.221.30:4022/rtp/239.254.96.113:9616
河北卫视,http://27.28.196.115:4022/rtp/239.254.96.113:9616
